school_year,geography,student_group,assessment,approaches_or_above_pct
2023-2024,EPISD,EB/EL (Current & Monitored),English I,52
2024-2025,EPISD,EB/EL (Current & Monitored),English I,53
2023-2024,EPISD,EB/EL (Current & Monitored),Algebra I,77
2024-2025,EPISD,EB/EL (Current & Monitored),Algebra I,74
2023-2024,EPISD,EB/EL (Current & Monitored),U.S. History,89
2024-2025,EPISD,EB/EL (Current & Monitored),U.S. History,90
2023-2024,Texas,EB/EL (Current & Monitored),English I,55
2024-2025,Texas,EB/EL (Current & Monitored),English I,55
2023-2024,Texas,EB/EL (Current & Monitored),Algebra I,77
2024-2025,Texas,EB/EL (Current & Monitored),Algebra I,75
2023-2024,Texas,EB/EL (Current & Monitored),U.S. History,91
2024-2025,Texas,EB/EL (Current & Monitored),U.S. History,90

