school_year,geography,student_group,assessment,approaches_or_above_pct,did_not_meet_pct
2023-2024,EPISD,EB/EL (Current & Monitored),English I,52,48
2024-2025,EPISD,EB/EL (Current & Monitored),English I,53,47
2023-2024,EPISD,EB/EL (Current & Monitored),Algebra I,77,23
2024-2025,EPISD,EB/EL (Current & Monitored),Algebra I,74,26
2023-2024,EPISD,EB/EL (Current & Monitored),U.S. History,89,11
2024-2025,EPISD,EB/EL (Current & Monitored),U.S. History,90,10
2023-2024,Texas,EB/EL (Current & Monitored),English I,55,45
2024-2025,Texas,EB/EL (Current & Monitored),English I,55,45
2023-2024,Texas,EB/EL (Current & Monitored),Algebra I,77,23
2024-2025,Texas,EB/EL (Current & Monitored),Algebra I,75,25
2023-2024,Texas,EB/EL (Current & Monitored),U.S. History,91,9
2024-2025,Texas,EB/EL (Current & Monitored),U.S. History,90,10
