school_year,geography,classification,count,percent
2023-2024,EPISD,EB Students/EL,18597,37.9
2023-2024,Texas,EB Students/EL,1344804,24.4
2024-2025,EPISD,EB Students/EL,17322,36.1
2024-2025,Texas,EB Students/EL,1343669,24.3
2023-2024,EPISD,At-Risk,30056,61.3
2023-2024,Texas,At-Risk,2937834,53.2
2024-2025,EPISD,At-Risk,29150,60.7
2024-2025,Texas,At-Risk,2960262,53.5
2023-2024,EPISD,Economically Disadvantaged,36868,75.2
2023-2024,Texas,Economically Disadvantaged,3434955,62.3
2024-2025,EPISD,Economically Disadvantaged,34208,71.3
2024-2025,Texas,Economically Disadvantaged,3346090,60.5

